iter	RMSE
0	0.3633165213
1	0.3391082376
2	0.3174940398
3	0.2981520147
4	0.2803184473
5	0.264680019
6	0.2511878706
7	0.2380100141
8	0.2259254039
9	0.2156874524
10	0.2061148577
11	0.1971435954
12	0.1891159617
13	0.1812939955
14	0.1738731657
15	0.1682767665
16	0.1623939556
17	0.1574485832
18	0.1529432619
19	0.148957596
20	0.1445842
21	0.1403858943
22	0.1373806172
23	0.1343524291
24	0.1315258225
25	0.1288577538
26	0.1260151078
27	0.123436451
28	0.1211585096
29	0.1190531466
30	0.1176055097
31	0.1159911616
32	0.1146168845
33	0.1128398738
34	0.1113988097
35	0.1098212181
36	0.1085495381
37	0.1071961505
38	0.1059356568
39	0.1046060655
40	0.1035861649
41	0.1024812332
42	0.1016729721
43	0.1005329398
44	0.09981601429
45	0.09878997298
46	0.09789248729
47	0.09708332971
48	0.09615339629
49	0.09534435914
50	0.09481569209
51	0.09418327952
52	0.09344987667
53	0.09282295163
54	0.09228938985
55	0.09174924703
56	0.09108796169
57	0.09045092705
58	0.08976477839
59	0.08903512751
60	0.08856879886
61	0.08802469388
62	0.08753390679
63	0.08693719907
64	0.08657175852
65	0.08616672364
66	0.085696948
67	0.08523161867
68	0.08450479012
69	0.08375905933
70	0.08336835875
71	0.08295220129
72	0.08254562787
73	0.08210895213
74	0.08173585082
75	0.08124450922
76	0.08080930227
77	0.08052044764
78	0.0800413406
79	0.07968292585
80	0.07918699986
81	0.07851108427
82	0.07807955784
83	0.07766868588
84	0.07730234309
85	0.0768143341
86	0.07590942914
87	0.07530175163
88	0.07490763223
89	0.07445823947
90	0.07391919263
91	0.07333465004
92	0.07288145279
93	0.07252737661
94	0.07215342279
95	0.07168032195
96	0.07134491019
97	0.07081188719
98	0.07051477189
99	0.07013083411
100	0.06962100414
101	0.06930997315
102	0.06860919033
103	0.06805775241
104	0.06754298825
105	0.06688673921
106	0.06658724099
107	0.06622087806
108	0.06579907428
109	0.06542657613
110	0.06486051154
111	0.06448164142
112	0.06400040509
113	0.06365029382
114	0.0630928264
115	0.06266220365
116	0.06230637891
117	0.06184699695
118	0.06152872929
119	0.06108939665
120	0.0607590775
121	0.06032531999
122	0.05992126325
123	0.05954917261
124	0.05913486676
125	0.05876146852
126	0.05841107085
127	0.0580070603
128	0.05784826278
129	0.05761478186
130	0.05734427023
131	0.0571333801
132	0.05683241108
133	0.05653122841
134	0.05617243394
135	0.05588114547
136	0.0555217998
137	0.05520069208
138	0.05488664803
139	0.05465105122
140	0.05433097749
141	0.05400750077
142	0.05371647473
143	0.05341324055
144	0.05312879374
145	0.05285768192
146	0.0525303376
147	0.05224513869
148	0.05203282516
149	0.05178519111
150	0.05151225056
151	0.05126647981
152	0.05111789014
153	0.05079444542
154	0.05055203005
155	0.05016686805
156	0.04996784928
157	0.04955877741
158	0.04926287705
159	0.0490050591
160	0.04872731664
161	0.04832495427
162	0.04777233975
163	0.04751797477
164	0.04727154742
165	0.04696699403
166	0.0467237159
167	0.04652433785
168	0.04631213512
169	0.04614443401
170	0.04589056277
171	0.04572386863
172	0.04556667262
173	0.04530227912
174	0.04503703499
175	0.04478996887
176	0.04460717242
177	0.04441747481
178	0.04409740091
179	0.04374530532
180	0.04352206111
181	0.0432216576
182	0.04298006292
183	0.04276531758
184	0.04253299667
185	0.04233030988
186	0.0420865284
187	0.04191387102
188	0.04167416059
189	0.04132248406
190	0.04113059844
191	0.04098440949
192	0.04079802345
193	0.04070696284
194	0.04055171162
195	0.04033297425
196	0.04014438696
197	0.03994841075
198	0.03983160909
199	0.0396217868
200	0.03934369301
201	0.0391410967
202	0.03897483675
203	0.03882402085
204	0.0386412335
205	0.03846796357
206	0.03835863235
207	0.03811983429
208	0.03791683365
209	0.03773764242
210	0.03761070088
211	0.03743590538
212	0.03720590786
213	0.03699567931
214	0.03689037576
215	0.03672328433
216	0.03653705515
217	0.03639580701
218	0.03620252789
219	0.03586227108
220	0.03561298819
221	0.03552872464
222	0.03541988009
223	0.03525389143
224	0.03500318786
225	0.0348443955
226	0.03453753721
227	0.03449104391
228	0.03425653566
229	0.03415538988
230	0.0339855864
231	0.03386642739
232	0.03379718421
233	0.03368152856
234	0.03351876385
235	0.03340168376
236	0.03318276011
237	0.03307716214
238	0.03282539744
239	0.03266568987
240	0.03248673885
241	0.03233418589
242	0.03211704318
243	0.03202490745
244	0.03187992734
245	0.03171543594
246	0.03156357676
247	0.03143955567
248	0.03128492772
249	0.03121105597
250	0.03103306455
251	0.03077204471
252	0.030556158
253	0.030419947
254	0.03029538403
255	0.0301402425
256	0.02994713613
257	0.02981715321
258	0.02971417357
259	0.02951806283
260	0.02939838529
261	0.02921649217
262	0.02909898035
263	0.02890499306
264	0.02878172229
265	0.02862686657
266	0.02859563416
267	0.02848200151
268	0.02830985993
269	0.0282420675
270	0.02804488382
271	0.02790866403
272	0.02777669139
273	0.02762514588
274	0.02751522898
275	0.02739394283
276	0.02730909911
277	0.02720672649
278	0.02710010231
279	0.02695851477
280	0.02676619793
281	0.02664753271
282	0.02652494131
283	0.02640924549
284	0.02631266887
285	0.0261887459
286	0.02606552375
287	0.02598746432
288	0.02588549571
289	0.02578403457
290	0.02562758593
291	0.02551614478
292	0.02542183301
293	0.02536824743
294	0.02524238223
295	0.02518409774
296	0.02510058168
297	0.02504841174
298	0.02496633376
299	0.02487659354
